,year,song,artists,rank,artist1,artist2,artist3,artist4,lyrics,genre,lyrics_sentiment,sentiment,artist_type
34,2009,LoveGame,Lady Gaga,35,Lady Gaga,,,,"Let's have some fun, this beat is sick
I wanna take a ride on your disco stick
Let's have some fun, this beat is sick
I wanna take a ride on your disco stick

Huh!
Huh!

I wanna kiss you
But if I do then I might miss you, babe
It's complicated and stupid
Got my ass squeezed by sexy Cupid
Guess he wants to play, wants to play
A love game, a love game

Hold me and love me
Just wanna touch you for a minute
Maybe three seconds is enough for my heart to quit

Let's have some fun, this beat is sick
I wanna take a ride on your disco stick
Don't think too much, just bust that kick
I wanna take a ride on your disco stick

Let's play a love game, play a love game
Do you want love or you want fame?
Are you in the game?
Dans the love game

Let's play a love game, play a love game
Do you want love or you want fame?
Are you in the game?
Dans the love game

Huh!
Huh!

I'm on a mission
And it involves some heavy touching, yeah
You've indicated your interest
I'm educated in sex, yes
And now I want it bad, want it bad
A love game, a love game

Hold me and love me
Just wanna touch you for a minute
Maybe three seconds is enough for my heart to quit

Let's have some fun, this beat is sick
I wanna take a ride on your disco stick
Don't think too much, just bust that kick
I wanna take a ride on your disco stick

Huh!

Let's play a love game, play a love game
Do you want love or you want fame?
Are you in the game?
Dans the love game

Let's play a love game, play a love game
Do you want love or you want fame?
Are you in the game?
Dans the love game

Huh!
Huh!

I can see you staring there from across the block
With a smile on your mouth and your hand on your... (huh!)
The story of us, it always starts the same
With a boy and a girl and a... (huh!) and a game

(And a game)
(And a game)
(And a game)
A love game

Let's play a love game, play a love game
Do you want love or you want fame?
Are you in the game?
Dans the love game

Let's play a love game, play a love game
Do you want love or you want fame?
Are you in the game?
Dans the love game

Let's play a love game, play a love game
Do you want love or you want fame?
Are you in the game?
Dans the love game

Let's have some fun, this beat is sick
I wanna take a ride on your disco stick

Let's play a love game, play a love game
Do you want love or you want fame?
Are you in the game?
Dans the love game

Don't think too much, just bust that kick
I wanna take a ride on your disco stick",Electronic,-0.001718328840970346,0,female
35,2009,Waking Up In Vegas,Katy Perry,36,Katy Perry,,,,"You gotta help me out
It's all a blur last night
We need a taxi 'cause you're hungover and I'm broke
I lost my fake ID 
But you lost the motel key

Spare me your freakin' dirty looks, now don't blame me
You wanna cash out
And get the hell out of town
Don't be a baby, remember what you told me

Shut up and put your money where your mouth is
That's what you get for waking up in Vegas
Get up and shake the glitter off your clothes, now
That's what you get for waking up in Vegas

Why are these lights so bright?
Did we get hitched last night?
Dressed up like Elvis, why am I wearing your class ring?
Don't call your mother
'Cause now we're partners in crime
Don't be a baby, remember what you told me

Shut up and put your money where your mouth is
That's what you get for waking up in Vegas
Get up and shake the glitter off your clothes, now
That's what you get for waking up in Vegas

You got me into this
Information overload, situation lost control
Send out an S.O.S.
Huh, and get some cash out
We're gonna tear up the town

No, don't be a baby
Remember what you told me
Remember what you told me
Remember what you told me, told me, told me...

Hey, shut up and put your money where your mouth is
That's what you get for waking up in Vegas
Get up and shake the glitter off your clothes, now
That's what you get for waking up in Vegas

That's what you get, baby
Shake the glitter
Shake, shake, shake the glitter
Give me some cash out, baby
Give me some cash out, baby",Pop,-0.06666666666666667,0,female
36,2009,Birthday Sex,Jeremih,37,Jeremih,,,,"It's yo birthday, so I know you want to ride out
Even if we only go to my house
Sip mo-weezy as we sit upon my couch
Feels good, but I know you want to cry out

You say want passion, I think you found it
Get ready for action, don't be astounded
We switching positions, you feel so rounded
Tell me where you want your gift, girl

Girl you know I-I-I, Girl you know I-I-I
I been feenin,
Wake up in the late night
Been dreaming bout your loving, girl
Girl you know I-I-I, Girl you know I-I-I
Don't need candles and cake
Just need your body to make...
Birthday sex... Birthday sex
Birthday sex... Birthday sex

See you sexy and them jeans got me on tent
1-2-3 Ding, I got you pinned
Don't tap out, fight until the end
Ring that bell, and we gonna start over again
We grinding with passion, 'cause it's your birthday
Been at it for hours, I know you thirsty
You kiss me so sweetly, taste just like Hershey's
Just tell me how you want you gift, girl

Girl you know I-I-I, Girl you know I-I-I
I been feenin,
Wake up in the late night
Been dreaming bout your loving, girl
Girl you know I-I-I, Girl you know I-I-I
Don't need candles and cake
Just need your body to make...
Birthday sex... Birthday sex
Birthday sex... Birthday sex

First, I'm gonna take a dive into the water,
Deep until I know I pleased that body
Or girl without a broom I might just sweep you off your feet
And make you wanna tell somebody... how I do
Or maybe we can float on top my water bed
You close your eyes as I I'm-prov between your legs
We work our way from kitchen stoves and tables,
Girl, you know I'm only able to please
Say you wanted flowers on the bed
But you got me and now it's on again

Girl you know I-I-I, Girl you know I-I-I
I been feeling,
Wake up in the late night
Been dreaming bout your loving, girl
Girl you know I-I-I, Girl you know I-I-I
Don't need candles and cake
Just need your body to make...
Birthday sex... Birthday sex
Birthday sex... Birthday sex",R&B/Soul,0.24999999999999994,1,male
37,2009,Sober,P!nk,38,P!nk,,,,"I don't wanna be the girl
Who laughs the loudest
Or the girl who never
Wants to be alone
I don't wanna be that call
At 4 o'clock in the morning
'Cause I'm the only one you know
In the world that won't be home

Ah, the sun is blinding
I stayed up again
Ooh, I am finding
That's not the way I want my story to end

I'm safe up high
Nothing can touch me
But why do I feel this party's over?
No pain inside
You're my protection
How do I feel this good sober?

I don't wanna be the girl
Who has to fill the silence
The quiet scares me
Cause it screams the truth
Please don't tell me that
We had that conversation
I won't remember, save your breath
'Cause what's the use?

Ah, the night is calling
And it whispers to me softly,
""Come and play""
Ah, I am falling
And if I let myself go
I'm the only one to blame

I'm safe up high
Nothing can touch me
But why do I feel this party's over?
No pain inside
You're like perfection
How do I feel this good sober?

I'm coming down, coming down, coming down
Spinning 'round, spinning 'round, spinning 'round
Looking for myself, sober
I'm coming down, coming down, coming down
Spinning 'round, spinning 'round, spinning 'round
Looking for myself, sober

When it's good, then it's good
It's so good till it goes bad
Till you're trying to find
The you that you once had
I have heard myself cry, ""Never again""
Broken down in agony
Just trying to find a friend

I'm safe up high
Nothing can touch me
But why do I feel this party's over?
No pain inside
You're like perfection
How do I feel this good sober

I'm safe up high
Nothing can touch me
But why do I feel this party's over?
No pain inside
You're like perfection
How do I feel this good sober?

Will I ever feel this good sober?
Tell me, No no no no no pain
How do I feel this good sober?",Pop,0.1411358024691358,1,female
38,2009,Womanizer,Britney Spears,39,Britney Spears,,,,"Superstar, where you from? How's it going?
I know you got a clue what you're doing
You can play brand new to all the other chicks out here
But I know what you are, what you are, baby

Look at you gettin' more than just a re-up
Baby, you got all the puppets with their strings up
Fakin' like a good one but I call 'em like I see 'em
I know what you are, what you are, baby

Womanizer, woman-womanizer, you're a womanizer
Oh, womanizer, oh, you're a womanizer, baby
You, you-you are, you, you-you are
Womanizer, womanizer, womanizer
(Womanizer)

Boy, don't try to front
I-I know just, just, what you are, are-are
Boy don't try to front
I-I know just, just, what you are, are-are

(You) You got me goin'
(You) You're oh so charmin'
(You) But I can't do it
(You) You womanizer

Boy, don't try to front
I-I know just, just, what you are, are-are
Boy don't try to front
I-I know just, just, what you are, are-are

(You) You say I'm crazy
(You) I got your crazy
(You) You're nothing but a
(You) Womanizer

Daddy-O, you got the swagger of a champion
Too bad for you, you just can't find the right companion
I guess when you have one too many, makes it hard, it could be easy
Who you are, that's just who you are, baby

Lollipop, must mistake me, you're the sucker
To think that I would be a victim, not another
Say it, play it, how you want it
But no way I'm never gonna fall for you, never you, baby

Womanizer, woman-womanizer, you're a womanizer
Oh, womanizer, oh, you're a womanizer, baby
You, you-you are, you, you-you are
Womanizer, womanizer, womanizer
(Womanizer)

Boy, don't try to front
I-I know just, just, what you are, are-are
Boy don't try to front
I-I know just, just, what you are, are-are

(You) You got me goin'
(You) You're oh so charmin'
(You) But I can't do it
(You) You womanizer

Boy, don't try to front
I-I know just, just, what you are, are-are
Boy don't try to front
I-I know just, just, what you are, are-are

(You) You say I'm crazy
(You) I got your crazy
(You) You're nothing but a
(You) Womanizer

Maybe if we both lived in a different world, yeah
(Womanizer, womanizer, womanizer, womanizer)
It would be all good and maybe I could be your girl
But I can't, 'cause we don't, you

Womanizer, woman-womanizer, you're a womanizer
Oh, womanizer, oh, you're a womanizer, baby
You, you-you are, you, you-you are
Womanizer, womanizer, womanizer
(Womanizer)

Boy, don't try to front
I-I know just, just, what you are, are-are
Boy don't try to front
I-I know just, just, what you are, are-are

(You) You got me goin'
(You) You're oh so charmin'
(You) But I can't do it
(You) You womanizer

Boy, don't try to front
I-I know just, just, what you are, are-are
Boy don't try to front
I-I know just, just, what you are, are-are

(You) You say I'm crazy
(You) I got your crazy
(You) You're nothing but a
(You) Womanizer

Boy, don't try to front
I-I know just, just, what you are, are-are
Boy don't try to front
I-I know just, just, what you are, are-are

Womanizer, woman-womanizer, you're a womanizer
Oh, womanizer, oh, you're a womanizer, baby",Pop,-0.09664502164502163,0,female
39,2009,Whatever You Like,T.I.,40,T.I.,,,,"Hey, Jill
You know them old sugar daddies
They be trickin' they tell them girls
I said, you can have whatever you like
I said, you can have whatever you like, yeah

Stacks on deck, Patrón on ice
We can pop bottles all night
Baby, you can have whatever you like
I said, you can have whatever you like, yeah

Late night sex so wet and so tight
I'll gas up the jet for you tonight
Baby, you can go wherever you like
I said, you can go wherever you like, yeah

Any time you want to pick up the telephone
You know it ain't nothin' to drop a couple stacks on you
You want it? You can get it, my dear
Five million dollar homes, drop Bentlies I swear

Yeah, I want'cho body, I need yo body
Long as you got me, you won't need nobody
You want it, I got it, go get it, I buy it
Tell them other broke niggas ""Be quiet""

Stacks on deck, Patrón on ice
We can pop bottles all night
Baby, you can have whatever you like
I said, you can have whatever you like, yeah

Late night sex, so wet and so tight
I'll gas up the jet for you tonight
Baby, you can go wherever you like
I said, you can go wherever you like, yeah

Shawty, you the hottest, I love the way you drop it
Brain so good good coulda sworn you went to college
100k deposit, vacations in the tropics
And everybody know it ain't trickin' if ya got it

You ain't never ever gotta go in your wallet
Long as I got rubberband banks in my pocket
Five six rides with rims and a body kit
Ya ain't gotta downgrade, you can get what I get

My chick can have what she want
And go in any store, buy any bag she want
I notice you ain't never had a man like that
To buy you anything your heart desires like that

Yeah, I want your body, I need your body
Long as you got me, you won't need nobody
You want it, I got it, go get it, I buy it
Tell them other broke niggas ""Be quiet""

Stacks on deck, Patrón on ice
We can pop bottles all night
Baby, you can have whatever you like
I said, you can have whatever you like, yeah

Late night Sex so wet amd so tight
I'll gas up the jet for you tonight
Baby, you can go wherever you like
I said, you can go wherever you like, yeah

I'm talkin' big boy rides in big boy ice
Let me put this big boy in your life
Thang get so wet, it hit so right
Let me put this big boy in your life, that's right

I want your body, I need your body
Long as you got me, you won't need nobody
You want it, I got it, go get it, I buy it
Tell them other broke niggas ""Be quiet""

Stacks on deck, Patrón on ice
We can pop bottles all night
Baby, you can have whatever you like
I said, you can have whatever you like, yeah

Late night sex so wet and so tight
I'll gas up the jet for you tonight
Baby, you can go wherever you like
I said, you can go wherever you like, yeah",Alternative Rap,-0.012662337662337672,0,male
40,2009,Obsessed,Mariah Carey,41,Mariah Carey,,,,"And I was like, ""Why are you so obsessed with me?""

So oh oh, so oh oh
So oh oh, so oh oh
So oh oh, so oh oh
So oh oh, so oh oh

Will the real MC please step to the mic?
MC, you need an MC, place to be
MC, the MC

All up in the blogs
Sayin' we met at the bar
When I don't even know who you are
Sayin' we up in your house
Sayin' I'm up in your car
But you in L.A. and I'm out at Jermaine's

I'm up in the A, you're so so lame
And no one here even mentions your name
It must be the weed, it must be the E
'Cause you be poppin' hood, you get it poppin'

Ooh, why you so obsessed with me?
Boy, I want to know! Lyin' that you're sexin' me
When everybody knows it's clear that you're upset with me
Oh, finally found a girl that you couldn't impress
Last man on the Earth still couldn't get this

You're delusional, you're delusional
Boy, you're losing your mind
It's confusin' yo, you're confused, you know
Why you wasting your time?
Got you all fired up with your Napoleon complex
Seein' right through you like you're bathin' in Windex

Ooh oh oh boy, why you so obsessed with me?
So oh oh, so oh oh
And all the ladies sing
So oh oh, so oh oh
All the girls sing
So oh, so oh obsessed

You on your job, you hatin' hard
Ain't gon' feed you, imma let you starve
Gaspin' for air, I'm ventilation
You out of breath, hope you ain't waitin'

Tellin' the world how much you miss me
But we never were so why you trippin'?
You a mom and pop, I'm a corporation
I'm the press conference, you a conversation

Ooh, why you so obsessed with me?
Boy, I want to know! Lyin' that you're sexin' me
When everybody knows it's clear that you're upset with me
Oh, finally found a girl that you couldn't impress
Last man on the Earth still couldn't get this

You're delusional, you're delusional
Boy, you're losing your mind (Mind)
It's confusin' yo, you're confused, you know
Why you wasting your time? (Mind)
Got you all fired up with your Napoleon complex
Seein' right through you like you're bathin' in Windex

Ooh oh oh boy, why you so obsessed with me?
So oh oh, so oh oh
And all the ladies sing
So oh oh, so oh oh
All the girls sing
So oh, so oh obsessed

Ooh, why you so obsessed with me? (He's all up in my George Foreman)
Boy, I want to know! Lyin' that you're sexin' me (Lyin' that you're sexin' me)
When everybody knows it's clear that you're upset with me (Aye)
Oh, finally found a girl that you couldn't impress (Oh)
Last man on the Earth still couldn't get this (Last man on the Earth still couldn't get this)

You're delusional, you're delusional (He's all up in my George Foreman)
Boy, you're losing your mind (Mind)
It's confusin' yo, you're confused, you know
Why you wasting your time? (Mind)
Got you all fired up with your Napoleon complex",Pop,-0.19984126984126985,0,female
41,2009,Mad,Ne-Yo,42,Ne-Yo,,,,"Whoa uh ooh
Whoa uh ooh
Whoa uh ooh
Whoa uh

She's starin' at me
I'm sittin', wonderin' what she's thinkin'
Nobody's talkin' 'cause talkin' just turns into screamin'
Oh

And now as I'm yellin' over her, she's yellin' over me
All that that means
Is neither of us are listening
(And what's even worse)
That we don't even remember why we're fighting.

So both of us are mad for...

Nothin' (fighting for)
Nothin' (crying for)
Nothin' (whoa)
But we won't let it go for nothin'

(No not for)
Nothin'
This should be nothin' to a love like what we got
Oh baby...

I know sometimes it's gonna rain
But baby, can we make up now
'Cause I can't sleep through the pain?
(Can't sleep through the pain)

Girl, I don't wanna go to bed
(Mad at you)
And I don't want you to go to bed
(Mad at me)

No, I don't wanna go to bed
(Mad at you)
And I don't want you to go to bed
(Mad at me)
Oh no no no...

And it gets me upset, girl
When you're constantly accusing.
(Askin' questions like you've already known)
We're fighting this war, baby
When both of us are losing.
(This ain't the way that love is supposed to go)

Whoa...
(What happened to workin' it out?)
We've fall into this place
Where you ain't backin' down and I ain't backin' down
So what the hell do we do now...

It's all for...

Nothin' (fighting for)
Nothin' (crying for)
Nothin' (whoa)
But we won't let it go for

Nothin'...
(No not for)
Nothin'
This should be nothin' to a love like what we got
Oh baby...

I know sometimes it's gonna rain
But baby, can we make up now
'Cause I can't sleep through the pain
(Can't sleep through the pain)

Girl, I don't wanna go to bed
(Mad at you)
And I don't want you to go to bed
(Mad at me)

No, I don't wanna go to bed
(Mad at you)
And I don't want you to go to bed
(Mad at me)
Oh no no no...

Oh, baby this love ain't gonna be perfect
(Perfect, perfect, oh oh)
And just how good it's gonna be
We can fuss and we can fight,
Long as everything's all right between us...
Before we go to sleep.

Baby, we're gonna be happy.

Baby, I know sometimes it's gonna rain
But baby, can we make up now
'Cause I can't sleep through the pain
(Can't sleep through the pain)

Girl, I don't wanna go to bed
(Mad at you)
And I don't want you to go to bed
(Mad at me)

No, I don't wanna go to bed
(Mad at you)
And I don't want you to go to bed
(Mad at me)
Oh no no no...",Contemporary R&B,-0.08334656084656084,0,Not Found
42,2009,Good Girls Go Bad,Cobra Starship / Leighton Meester,43,Cobra Starship,Leighton Meester,,,"I make them good girls go bad
I make them good girls go
Good girls go bad
(Good girls go bad)

I know your type (your type)
You're Daddy's little girl
Just take a bite, (one bite)
Let me shake up your world

'Cause just one night couldn't be so wrong
I'm gonna make you lose control

She was so shy
'Til I drove her wild

I make them good girls go bad
I make them good girls go bad
You were hangin' in the corner
With your five best friends
You heard that I was trouble
But you couldn't resist
I make them good girls go bad
I make them good girls go
Good girls go bad

I know your type (your type)
Boy, you're dangerous
Yeah, you're that guy (that guy)
I'd be stupid to trust

But just one night couldn't be so wrong
You make me wanna lose control

She was so shy
'Til I drove her wild

I make them good girls go bad
I make them good girls go bad
I was hangin' in the corner
With my five best friends
I heard that you were trouble
But I couldn't resist
I make them good girls go bad
I make them good girls go
Good girls go bad

Oh, she got a way
With the boys in the place
Treat 'em like they don't stand a chance
And he got a way
With the girls in the back
Actin' like they too hot to dance

Yeah, she got a way
With the boys in the place
Treat 'em like they don't stand a chance
And he got a way
With the girls in the back
Actin' like they too hot to dance

I make them good girls go bad
(They don't stand a chance)
I make them good girls go
The good girls go bad, yeah
Good girls go bad
I was hanging in the corner
With my five best friends
I thought that you were trouble
But I couldn't resist
I make them good girls go bad
I make them good girls go bad
I make them good girls go
Good girls go bad
Good girls go bad
Good girls go",Not Found,0.060860655737704925,1,Collab
43,2009,Love Lockdown,Kanye West,44,Kanye West,,,,"I'm not lovin' you, way I wanted to
What I had to do, had to run from you
I'm in love with you, but the vibe is wrong
And that haunted me, all the way home
So ya never know, never never know
Never know enough, till it's over, love
Till we lose control, system overload
Screamin' no, no, no, no, no

I'm not lovin' you, way I wanted to
See I wanna move, but can't escape from you
So I keep it low, keep a secret code
So everybody else don't have to know

So keep your love locked down, your love locked down
Keepin' your love locked down, your love locked down
Now keep your love locked down, your love locked down
Now keep your love locked down, you lose

I'm not lovin' you, way I wanted to
I can't keep my cool, so I keep it true
I got somethin' to lose, so I gotta move
I can't keep myself, and still keep you too
So I keep in mind, when I'm on my own
Somewhere far from home, in the danger zone
How many times did I tell you fo' it finally got through?
You lose, you lose

I'm not lovin' you, way I wanted to
See I had to go, see I had to move
No more wastin' time, you can't wait for life
We're just racin' time, where's the finish line?

So keep your love locked down, your love locked down
Keepin' your love locked down, your love locked down
Now keep your love locked down, your love locked down
Now keep your love locked down, you lose

I'm not lovin' you, the way I wanted to
I bet no one knew, I got no one new
No, I said I'm through, but got love for you
But I'm not lovin' you, way I wanted to
Gotta keep it goin', keep the lovin' gone
Keep it on a roll, only God knows
If I be with you, baby, I'm confused
You choose, you choose

I'm not lovin' you, way I wanted to
Where I wanna go, I don't need you
I been down this road, too many times before
I'm not lovin' you, way I wanted to

So keep your love locked down, your love locked down
Keepin' your love locked down, your love locked down
Now keep your love locked down, your love locked down
Now keep your love locked down, you lose, you lose
You lose
You lose
You lose",Hip Hop/Rap,0.15678920351051498,1,male
44,2009,So What,P!nk,45,P!nk,,,,"Na na na na na na na, na na na na na na
Na na na na na na na, na na na na na na

I guess I just lost my husband
I don't know where he went
So I'm gonna drink my money
I'm not gonna pay his rent (nope)

I got a brand new attitude
And I'm gonna wear it tonight
I wanna get in trouble
I wanna start a fight

Na na na na na na na, na na na na na na
I wanna start a fight
Na na na na na na na, na na na na na na
I wanna start a fight!

So, so what?
I'm still a rock star
I got my rock moves
And I don't need you
And guess what?
I'm havin' more fun
And now that we're done
I'm gonna show you tonight

I'm alright, I'm just fine
And you're a tool
So, so what?
I am a rock star
I got my rock moves
And I don't want you tonight

Uh, check my flow

The waiter just took my table
And gave it to Jessica Simps' (shit)
I guess I'll go sit with drum boy
At least he'll know how to hit (oops)

What if this song's on the radio
Then somebody's gonna die
I'm gonna get in trouble
My ex will start a fight

Na na na na na na na, na na na na na na
He's gonna start a fight
Na na na na na na na, na na na na na na
We're all gonna get in a fight!

So, so what?
I'm still a rock star
I got my rock moves
And I don't need you
And guess what?
I'm havin' more fun
And now that we're done
I'm gonna show you tonight

I'm alright, I'm just fine
And you're a tool
So, so what?
I am a rock star
I got my rock moves
And I don't want you tonight

You weren't there, you never were
You want it all but that's not fair
I gave you life, I gave my all
You weren't there, you let me fall

So, so what?
I'm still a rock star
I got my rock moves
And I don't need you
And guess what?
I'm havin' more fun
And now that we're done
I'm gonna show you tonight

I'm alright (I'm alright), I'm just fine (I'm just fine)
And you're a tool
So, so what?
I am a rock star
I got my rock moves
And I don't want you tonight

No no
No no
I don't want you tonight
You weren't there
I'm gonna show you tonight

I'm alright, I'm just fine
And you're a tool
So, so what?
I am a rock star
I got my rock moves
And I don't want you tonight

Ba da da da da da, pbbt",Pop,0.1923351158645276,1,female
45,2009,Hotel Room Service,Pitbull,46,Pitbull,,,,"DJ Tim Johnson
I want everybody to stop what they’re doin' (Mr. 305)
Now if you know you're with somebody
You're gonna take the hotel room tonight,
Make some noise (woo)

Meet me at the hotel room
Meet me at the hotel room
Meet me at the hotel room
Meet me at the hotel room

Forget about your boyfriend
And meet me at the hotel room,
You can bring your girlfriends
And meet me at the hotel room.

Forget about your boyfriend
And meet me at the hotel room,
You can bring your girlfriends
And meet me at the hotel room.

We at the hotel, motel, Holiday Inn.
We at the hotel, motel, Holiday Inn.
We at the hotel, motel, Holiday Inn.
We at the hotel, motel, Holiday Inn.

She like that freaky stuff
Two in the ""O"" and one in the eye
That kinky stuff, you nasty,
But I like your type
And like T.I., it's whatever you like.

Bring your girls, just whatever the night,
Your man just left, I’m the plumber tonight,
I'll check yo' pipes, oh you the healthy type,
Well, here goes some egg whites.

Now gimme that sweet,
That nasty, that Gucci stuff
Let me tell you what we gon’ do.
Two plus two, I’m gon' undress you.

Then we’re gonna go three and three
You gon’ undress me.
Then we’re gonna go four and four,
We gon’ freak some more, but first...

Forget about your boyfriend
And meet me at the hotel room,
You can bring your girlfriends
And meet me at the hotel room.

Forget about your boyfriend
And meet me at the hotel room,
You can bring your girlfriends
And meet me at the hotel room.

We at the hotel, motel, Holiday Inn.
We at the hotel, motel, Holiday Inn.
We at the hotel, motel, Holiday Inn.
We at the hotel, motel, Holiday Inn.

After party in hotel lobby,
Then we off to the room like vroom
Put them fingers in yo' mouth, or open up yo' blouse,
And pull that g-string down south

Ooh, okay shawty, one’s company,
Two’s a crowd and three’s a party.
Your girl ain’t with it, I got somebody
In my nature, she’s naughty.

Now gimme that sweet,
That nasty, that Gucci stuff
Let me tell you what we gon’ do.
Two plus two, I’m gon' undress you.

Then we’re gonna go three and three
You gon’ undress me.
Then we’re gonna go four and four,
We gon’ freak some more, but first...

Forget about your boyfriend
And meet me at the hotel room,
You can bring your girlfriends
And meet me at the hotel room.

Forget about your boyfriend
And meet me at the hotel room,
You can bring your girlfriends
And meet me at the hotel room.

We at the hotel, motel, Holiday Inn.
We at the hotel, motel, Holiday Inn.
We at the hotel, motel, Holiday Inn.
We at the hotel, motel, Holiday Inn.

Mujeres!... ey-oh-ey-oh-ey... Yenny... oye, que bola?
Mujeres!... ey-oh-ey-oh-ey... Yaminel... oye, que bola? 
Mujeres!... ey-oh-ey-oh-ey... Roslyn... oye, que bola?
Mujeres!... ey-oh-ey-oh-ey... Zuleyma... oye, que bola?

Mujeres!... ey-oh-ey-oh-ey... Cristina... oye, que bola?
Mujeres!... ey-oh-ey-oh-ey... Catolina... oye, que bola?
Mujeres!... ey-oh-ey-oh-ey... Sophia... oye, que bola?
Mujeres!... ay-oh-ay-oh-ay... Estefany... oye, que bola?",R&B/Soul,0.04296296296296297,1,male
46,2009,Crack A Bottle,Eminem/ Dr. Dre / 50 Cent,47,Eminem,Dr. Dre,50 Cent,,"Eminem
Oh!
Ladies and gentlemen
The moment you've all been waiting for...
In this corner: weighing 175 pounds,
With a record of 17 rapes, 400 assaults and 4 murders
The undisputed, most diabolical villain in the world:
Slim Shady!

So crack a bottle, let your body waddle
Don't act like a snobby model, you just hit the lotto
Uh-oh, uh-oh, bitches hoppin' in my Tahoe
Got one riding shotgun and no not one of them got clothes

Now where's the rubbers? Who's got the rubbers?
I noticed there's so many of them and there's really not that many of us
And ladies love us, my posse's kicking up dust
It's on till the break of dawn and we're starting this party from dusk

Ok! Let's go!

Back with Andre the Giant, Mr. Elephant Tusk
Fix your musk, you'll be just another one bit the dust
Just one of my mother's sons who got thrown under the bus
Kiss my butt, lick frumunda cheese from under my nuts

It disgusts me to see the game the way that it looks
It's a must, I redeem my name and haters get mushed
Bitches lust, man they love me when I lay in the cut
Fist the cup, the lady give her eighty some paper cut

Now picture us, it's ridiculous, you curse at the thought
'Cause when I spit the verse the shit gets worse than Worcestershire sauce
If I could fit the words as picture perfect, works every time
Every verse, every line, as simple as nursery rhymes

It's elementary, the elephants have entered the room
I venture to say with the center of attention, ""It's true""
Not to mention back with a vengeance so here's the signal
Of the bat symbol, the platinum trio's back on you hoes

So crack a bottle, let your body waddle
Don't act like a snobby model, you just hit the lotto
Uh-oh, uh-oh, bitches hoppin' in my Tahoe
Got one riding shotgun and no not one of 'em got clothes

Now where's the rubbers? Who's got the rubbers?
I noticed there's so many of them and there's really not that many of us
And ladies love us, my posse's kicking up dust
It's on till the break of dawn and we're starting this party from dusk

Ladies and gentlemen... Dr. Dre!

Dr. Dre
They see that low rider go by, they like, ""Oh, my!""
You ain't got to tell me why you're sick 'cause I know why
I dip through in that six tre like, ""Sick 'em, Dre""
I'm an itch that they can't scratch, they're sick of me

But hey, what else can I say? I love L.A.
'Cause over and above all, it's just another day
And this one begins where the last one ends
Pick up where we left off and get smashed again

I'll be damned, just fucked around and crashed my Benz
Driving 'round with a smashed front end, let's cash that one in
Grab another one from out the stable
The Monte Carlo, El Camino or the El Dorado

The hell if I know, do I want leather seats or vinyl?
Decisions, decisions, garage looks like precision collision
Or maico, beats quake like Waco
Just keep the bass low speakers away from your face though

Eminem
So crack a bottle, let your body waddle
Don't act like a snobby model, you just hit the lotto
Uh-oh, uh-oh, bitches hoppin' in my Tahoe
Got one riding shotgun and no not one of them got clothes

Now where's the rubbers? Who's got the rubbers?
I noticed there's so many of them and there's really not that many of us
And ladies love us, my posse's kicking up dust
It's on till the break of dawn and we're starting this party from dusk

And I take great pleasure in introducing... 50 Cent!

50 Cent
It's bottle after bottle
The money ain't a thang when you party with me
It's what we into, it's simple
We ball out of control like you wouldn't believe

I'm the napalm, the bomb, the Don, I'm King Kong
Get rolled on, wrapped up and reigned on
I'm so calm through Vietnam, ring the alarm
Bring the Chandon, burn marajaun do what you want

Nigga on and on till the break of what?
Get the paper man I'm caking you know I don't give a fuck
I spend it like it don't mean nothing
Blow it like it's supposed to be blown, Mafucker, I'm grown

I stunt, I style, I flash the shit
I gets what the fuck I want, so what? I trick
Fat ass, burgundy bags, classy shit
Jimmy Choo shoes, I say, ""Move a-bitch, move""

Eminem
So crack a bottle, let your body waddle
Don't act like a snobby model, you just hit the lotto
Uh-oh, uh-oh, bitches hoppin' in my Tahoe
Got one riding shotgun and no not one of them got clothes

Now where's the rubbers? Who's got the rubbers?
I noticed there's so many of them and there's really not that many of us
And ladies love us, my posse's kicking up dust
It's on till the break of dawn and we're starting this party from dusk",Hip Hop/Rap,0.08440778853914445,1,Collab
47,2009,If I Were A Boy,Beyonce,48,Beyonce,,,,"If I were a boy
Even just for a day
I'd roll out of bed in the morning
And throw on what I wanted and go

Drink beer with the guys
And chase after girls
I'd kick it with who I wanted
And I'd never get confronted for it
'Cause they'd stick up for me

If I were a boy
I think I could understand
How it feels to love a girl
I swear I'd be a better man

I'd listen to her
'Cause I know how it hurts
When you lose the one you wanted
'Cause he's taken you for granted
And everything you had got destroyed

If I were a boy
I would turn off the phone
Tell everyone it's broken
So they'd think that I was sleeping alone

I'd put myself first
And make the rules as I go
'Cause I know that she'd be faithful
Waiting for me to come home
To come home

If I were a boy
I think I could understand, oh, ooh
How it feels to love a girl
I swear I'd be a better man

I'd listen to her
'Cause I know how it hurts
When you lose the one you wanted (you wanted)
'Cause he's taken you for granted (for granted)
And everything you had got destroyed

It's a little too late for you to come back
Say it's just a mistake, think I'd forgive you like that
If you thought I would wait for you
You thought wrong

But you're just a boy
You don't understand (yeah, you don't understand, oh)
How it feels to love a girl
Someday you'll wish you were a better man

You don't listen to her
You don't care how it hurts
Until you lose the one you wanted
'Cause you've taken her for granted
And everything that you had got destroyed

But you're just a boy",Pop,0.15520833333333334,1,female
